indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
CNMIGRATRT,AD,2012,-29.8,
CNMIGRATRT,AD,2016,14.5,e
CNMIGRATRT,AD,2018,15.6,e
CNMIGRATRT,AD,2019,14.7,e
CNMIGRATRT,AD,2022,23.9,
CNMIGRATRT,AL,2011,-6.4,
CNMIGRATRT,AL,2012,-6.8,
CNMIGRATRT,AL,2013,-7.1,
CNMIGRATRT,AL,2014,-7.5,
CNMIGRATRT,AL,2015,-7.1,
CNMIGRATRT,AL,2016,-3.2,
CNMIGRATRT,AL,2017,-5.2,
CNMIGRATRT,AL,2018,-5.2,
CNMIGRATRT,AL,2019,-8.1,
CNMIGRATRT,AL,2020,-5.9,
CNMIGRATRT,AL,2021,-11.7,
CNMIGRATRT,AL,2022,-11.7,
CNMIGRATRT,AM,2011,-1.1,
CNMIGRATRT,AM,2015,-8.6,
CNMIGRATRT,AM,2016,-8.3,
CNMIGRATRT,AM,2017,-8,
CNMIGRATRT,AM,2018,-6.2,
CNMIGRATRT,AM,2019,-5.2,
CNMIGRATRT,AM,2020,1.1,
CNMIGRATRT,AT,2011,3.7,
CNMIGRATRT,AT,2012,5.2,
CNMIGRATRT,AT,2013,6.6,
CNMIGRATRT,AT,2014,8.6,
CNMIGRATRT,AT,2015,13.2,
CNMIGRATRT,AT,2016,7.5,
CNMIGRATRT,AT,2017,5.1,
CNMIGRATRT,AT,2018,4,
CNMIGRATRT,AT,2019,4.6,
CNMIGRATRT,AT,2020,4.4,
CNMIGRATRT,AT,2021,5.8,
CNMIGRATRT,AT,2022,15.1,
CNMIGRATRT,AZ,2011,0.2,
CNMIGRATRT,AZ,2012,0.2,
CNMIGRATRT,AZ,2013,0.2,
CNMIGRATRT,AZ,2014,0.1,
CNMIGRATRT,AZ,2015,0.1,
CNMIGRATRT,AZ,2016,0.2,
CNMIGRATRT,AZ,2017,0.1,
CNMIGRATRT,AZ,2018,0.2,
CNMIGRATRT,AZ,2019,0,
CNMIGRATRT,AZ,2020,0.1,
CNMIGRATRT,AZ,2021,0.2,
CNMIGRATRT,AZ,2022,-9,
CNMIGRATRT,BA,2011,-0.1,
CNMIGRATRT,BA,2012,0,
CNMIGRATRT,BA,2013,0.1,
CNMIGRATRT,BA,2014,0,
CNMIGRATRT,BA,2016,0,
CNMIGRATRT,BA,2017,-0.6,
CNMIGRATRT,BA,2018,0,p
CNMIGRATRT,BE,2011,4.6,b
CNMIGRATRT,BE,2012,3.9,b
CNMIGRATRT,BE,2013,2.4,
CNMIGRATRT,BE,2014,3.2,
CNMIGRATRT,BE,2015,5.5,
CNMIGRATRT,BE,2016,2.4,
CNMIGRATRT,BE,2017,3.2,
CNMIGRATRT,BE,2018,4.3,
CNMIGRATRT,BE,2019,5,
CNMIGRATRT,BE,2020,3.9,
CNMIGRATRT,BE,2021,4.9,
CNMIGRATRT,BE,2022,10.9,
CNMIGRATRT,BG,2011,-0.7,
CNMIGRATRT,BG,2012,-0.3,
CNMIGRATRT,BG,2013,-0.2,
CNMIGRATRT,BG,2014,-0.3,
CNMIGRATRT,BG,2015,-0.6,
CNMIGRATRT,BG,2016,-1.3,
CNMIGRATRT,BG,2017,-0.8,
CNMIGRATRT,BG,2018,-0.5,
CNMIGRATRT,BG,2019,-0.3,
CNMIGRATRT,BG,2020,4.4,
CNMIGRATRT,BG,2021,1.8,
CNMIGRATRT,BG,2022,-49.5,
CNMIGRATRT,BY,2011,1,
CNMIGRATRT,BY,2012,1,
CNMIGRATRT,BY,2014,1.7,
CNMIGRATRT,BY,2015,1.9,e
CNMIGRATRT,BY,2016,0.8,
CNMIGRATRT,BY,2017,0.4,
CNMIGRATRT,BY,2018,1,
CNMIGRATRT,BY,2019,-3.6,
CNMIGRATRT,CH,2011,8.3,b
CNMIGRATRT,CH,2012,8.3,
CNMIGRATRT,CH,2013,10.2,
CNMIGRATRT,CH,2014,9.4,
CNMIGRATRT,CH,2015,8.5,
CNMIGRATRT,CH,2016,8.3,
CNMIGRATRT,CH,2017,5.2,
CNMIGRATRT,CH,2018,4.7,
CNMIGRATRT,CH,2019,5,
CNMIGRATRT,CH,2020,6.3,
CNMIGRATRT,CH,2021,5.7,
CNMIGRATRT,CH,2022,7.8,
CNMIGRATRT,CY,2011,21.3,
CNMIGRATRT,CY,2012,-0.7,
CNMIGRATRT,CY,2013,-14,
CNMIGRATRT,CY,2014,-17.4,
CNMIGRATRT,CY,2015,-2.4,
CNMIGRATRT,CY,2016,2.9,
CNMIGRATRT,CY,2017,7.2,
CNMIGRATRT,CY,2018,9.3,
CNMIGRATRT,CY,2019,10,
CNMIGRATRT,CY,2020,5,
CNMIGRATRT,CY,2021,6.2,
CNMIGRATRT,CY,2022,14.3,
CNMIGRATRT,CZ,2011,1.6,
CNMIGRATRT,CZ,2012,1,
CNMIGRATRT,CZ,2013,-0.1,
CNMIGRATRT,CZ,2014,2.1,
CNMIGRATRT,CZ,2015,1.5,
CNMIGRATRT,CZ,2016,1.9,
CNMIGRATRT,CZ,2017,2.7,
CNMIGRATRT,CZ,2018,3.6,
CNMIGRATRT,CZ,2019,4.1,
CNMIGRATRT,CZ,2020,2.5,
CNMIGRATRT,CZ,2021,4.8,b
CNMIGRATRT,CZ,2022,30.9,b
CNMIGRATRT,DE,2011,3.7,b
CNMIGRATRT,DE,2012,4.9,
CNMIGRATRT,DE,2013,5.6,
CNMIGRATRT,DE,2014,7.2,
CNMIGRATRT,DE,2015,14.3,
CNMIGRATRT,DE,2016,5.6,
CNMIGRATRT,DE,2017,5.1,
CNMIGRATRT,DE,2018,4.8,
CNMIGRATRT,DE,2019,3.7,
CNMIGRATRT,DE,2020,2.4,
CNMIGRATRT,DE,2021,3.7,
CNMIGRATRT,DE,2022,17.3,
CNMIGRATRT,DK,2011,2.4,
CNMIGRATRT,DK,2012,3,
CNMIGRATRT,DK,2013,3.8,
CNMIGRATRT,DK,2014,4.8,
CNMIGRATRT,DK,2015,7.4,
CNMIGRATRT,DK,2016,5.7,
CNMIGRATRT,DK,2017,4.2,
CNMIGRATRT,DK,2018,3.2,
CNMIGRATRT,DK,2019,1.6,
CNMIGRATRT,DK,2020,1.9,
CNMIGRATRT,DK,2021,4.6,
CNMIGRATRT,DK,2022,10.2,
CNMIGRATRT,EA19,2011,1.4,b
CNMIGRATRT,EA19,2012,2,b
CNMIGRATRT,EA19,2013,4.4,
CNMIGRATRT,EA19,2014,2.1,b
CNMIGRATRT,EA19,2015,4,b
CNMIGRATRT,EA19,2016,2.3,
CNMIGRATRT,EA19,2017,2.7,b
CNMIGRATRT,EA19,2018,3.6,e
CNMIGRATRT,EA19,2019,3.7,bep
CNMIGRATRT,EA19,2020,2.2,p
CNMIGRATRT,EA19,2021,2.5,bp
CNMIGRATRT,EA19,2022,11,bp
CNMIGRATRT,EA20,2011,1.4,b
CNMIGRATRT,EA20,2012,1.9,b
CNMIGRATRT,EA20,2013,4.3,
CNMIGRATRT,EA20,2014,2,b
CNMIGRATRT,EA20,2015,3.9,b
CNMIGRATRT,EA20,2016,2.3,
CNMIGRATRT,EA20,2017,2.6,b
CNMIGRATRT,EA20,2018,3.5,e
CNMIGRATRT,EA20,2019,3.6,be
CNMIGRATRT,EA20,2020,2.1,p
CNMIGRATRT,EA20,2021,2.3,bp
CNMIGRATRT,EA20,2022,10.9,bp
CNMIGRATRT,EE,2011,-2.9,
CNMIGRATRT,EE,2012,-2.8,
CNMIGRATRT,EE,2013,-2,
CNMIGRATRT,EE,2014,-0.5,
CNMIGRATRT,EE,2015,1.8,b
CNMIGRATRT,EE,2016,0.8,
CNMIGRATRT,EE,2017,4,
CNMIGRATRT,EE,2018,5.3,
CNMIGRATRT,EE,2019,4.1,
CNMIGRATRT,EE,2020,2.8,
CNMIGRATRT,EE,2021,5.3,
CNMIGRATRT,EE,2022,29.5,
CNMIGRATRT,EL,2011,-2.9,
CNMIGRATRT,EL,2012,-6,
CNMIGRATRT,EL,2013,-5.4,
CNMIGRATRT,EL,2014,-4.3,
CNMIGRATRT,EL,2015,-4.2,
CNMIGRATRT,EL,2016,1,
CNMIGRATRT,EL,2017,0.8,
CNMIGRATRT,EL,2018,1.6,
CNMIGRATRT,EL,2019,3.3,
CNMIGRATRT,EL,2020,0.6,
CNMIGRATRT,EL,2021,-15.2,
CNMIGRATRT,EL,2022,1.7,
CNMIGRATRT,ES,2011,1.4,
CNMIGRATRT,ES,2012,-3,
CNMIGRATRT,ES,2013,-5.4,
CNMIGRATRT,ES,2014,-2,
CNMIGRATRT,ES,2015,-0.2,
CNMIGRATRT,ES,2016,1.9,
CNMIGRATRT,ES,2017,3.5,
CNMIGRATRT,ES,2018,7.1,
CNMIGRATRT,ES,2019,9.6,
CNMIGRATRT,ES,2020,4.6,
CNMIGRATRT,ES,2021,3.1,
CNMIGRATRT,ES,2022,16.5,
